UID,iso3,Admin2,Province_State,Lat,Long_,Population
4,AFG,NUL,,33.93911,67.709953,38928341
8,ALB,NUL,,41.1533,20.1683,2877800
10,ATA,NUL,,-71.9499,23.347,0
12,DZA,NUL,,28.0339,1.6596,43851043
20,AND,NUL,,42.5063,1.5218,77265
24,AGO,NUL,,-11.2027,17.8739,32866268
28,ATG,NUL,,17.0608,-61.7964,97928
32,ARG,NUL,,-38.4161,-63.6167,45195777
51,ARM,NUL,,40.0691,45.0382,2963234
40,AUT,NUL,,47.5162,14.5501,9006400
31,AZE,NUL,,40.1431,47.5769,10139175
44,BHS,NUL,,25.025885,-78.035889,393248
48,BHR,NUL,,26.0275,50.55,1701583
50,BGD,NUL,,23.685,90.3563,164689383
52,BRB,NUL,,13.1939,-59.5432,287371
112,BLR,NUL,,53.7098,27.9534,9449321
56,BEL,NUL,,50.8333,4.469936,11492641
5601,BEL,NUL,Antwerp,51.2195,4.4024,1869730
5602,BEL,NUL,Brussels,50.8503,4.3517,1218255
5603,BEL,NUL,East Flanders,51.0362,3.7373,1525255
5604,BEL,NUL,Flemish Brabant,50.9167,4.5833,1155843
5605,BEL,NUL,Hainaut,50.5257,4.0621,1346840
5606,BEL,NUL,Liege,50.4496,5.8492,1109800
5607,BEL,NUL,Limburg,50.9739,5.342,877370
5608,BEL,NUL,Luxembourg,50.0547,5.4677,286752
5609,BEL,NUL,Namur,50.331,4.8221,495832
5610,BEL,NUL,Unknown,,,0
5611,BEL,NUL,Walloon Brabant,50.4,4.35,406019
5612,BEL,NUL,West Flanders,51.0536,3.1458,1200945
84,BLZ,NUL,,17.1899,-88.4976,397621
204,BEN,NUL,,9.3077,2.3158,12123198
64,BTN,NUL,,27.5142,90.4336,771612
68,BOL,NUL,,-16.2902,-63.5887,11673029
70,BIH,NUL,,43.9159,17.6791,3280815
72,BWA,NUL,,-22.3285,24.6849,2351625
76,BRA,NUL,,-14.235,-51.9253,212559409
7601,BRA,NUL,Acre,-9.0238,-70.812,881935
7602,BRA,NUL,Alagoas,-9.5713,-36.782,3337357
7603,BRA,NUL,Amapa,0.902,-52.003,845731
7604,BRA,NUL,Amazonas,-3.4168,-65.8561,4144597
7605,BRA,NUL,Bahia,-12.5797,-41.7007,14873064
7606,BRA,NUL,Ceara,-5.4984,-39.3206,9132078
7607,BRA,NUL,Distrito Federal,-15.7998,-47.8645,3015268
7608,BRA,NUL,Espirito Santo,-19.1834,-40.3089,4018650
7609,BRA,NUL,Goias,-15.827,-49.8362,7018354
7610,BRA,NUL,Maranhao,-4.9609,-45.2744,7075181
7611,BRA,NUL,Mato Grosso,-12.6819,-56.9211,3484466
7612,BRA,NUL,Mato Grosso do Sul,-20.7722,-54.7852,2778986
7613,BRA,NUL,Minas Gerais,-18.5122,-44.555,21168791
7614,BRA,NUL,Para,-1.9981,-54.9306,8602865
7615,BRA,NUL,Paraiba,-7.24,-36.782,4018127
7616,BRA,NUL,Parana,-25.2521,-52.0215,11433957
7617,BRA,NUL,Pernambuco,-8.8137,-36.9541,9557071
7618,BRA,NUL,Piaui,-7.7183,-42.7289,3273227
7619,BRA,NUL,Rio de Janeiro,-22.9068,-43.1729,17264943
7620,BRA,NUL,Rio Grande do Norte,-5.4026,-36.9541,3506853
7621,BRA,NUL,Rio Grande do Sul,-30.0346,-51.2177,11377239
7622,BRA,NUL,Rondonia,-11.5057,-63.5806,1777225
7623,BRA,NUL,Roraima,-2.7376,-62.0751,605761
7624,BRA,NUL,Santa Catarina,-27.2423,-50.2189,7164788
7625,BRA,NUL,Sao Paulo,-23.5505,-46.6333,45919049
7626,BRA,NUL,Sergipe,-10.5741,-37.3857,2298696
7627,BRA,NUL,Tocantins,-10.1753,-48.2982,1572866
7628,BRA,NUL,Unknown,,,0
96,BRN,NUL,,4.5353,114.7277,437483
100,BGR,NUL,,42.7339,25.4858,6948445
854,BFA,NUL,,12.2383,-1.5616,20903278
104,MMR,NUL,,21.9162,95.956,54409794
108,BDI,NUL,,-3.3731,29.9189,11890781
132,CPV,NUL,,16.5388,-23.0418,555988
116,KHM,NUL,,11.55,104.9167,16718971
120,CMR,NUL,,3.848,11.5021,26545864
140,CAF,NUL,,6.6111,20.9394,4829764
148,TCD,NUL,,15.4542,18.7322,16425859
152,CHL,NUL,,-35.6751,-71.543,19116209
15201,CHL,NUL,Antofagasta,-23.6509,-70.3975,607534
15202,CHL,NUL,Araucania,-38.9489,-72.3311,957224
15203,CHL,NUL,Arica y Parinacota,-18.594,-69.4785,226068
15204,CHL,NUL,Atacama,-27.5661,-70.0503,288944
15205,CHL,NUL,Aysen,-45.9864,-73.7669,103158
15206,CHL,NUL,Biobio,-37.4464,-72.1416,1556805
15207,CHL,NUL,Coquimbo,-29.959,-71.3389,757586
15208,CHL,NUL,Los Lagos,-41.9198,-72.1416,828708
15209,CHL,NUL,Los Rios,-40.231,-72.3311,384837
15210,CHL,NUL,Magallanes,-52.368,-70.9863,166533
15211,CHL,NUL,Maule,-35.5183,-71.6885,1044950
15212,CHL,NUL,Metropolitana,-33.4376,-70.6505,7112808
15213,CHL,NUL,Nuble,-36.7226,-71.7622,480609
15214,CHL,NUL,OHiggins,-34.5755,-71.0022,914555
15215,CHL,NUL,Tarapaca,-19.9232,-69.5132,330558
15216,CHL,NUL,Valparaiso,-33.0472,-71.6127,1815902
15217,CHL,NUL,Unknown,,,0
170,COL,NUL,,4.5709,-74.2973,50882884
17001,COL,NUL,Amazonas,-1.4429,-71.5724,76589
17002,COL,NUL,Antioquia,7.1986,-75.3412,6407102
17003,COL,NUL,Arauca,7.0762,-70.7105,262174
17004,COL,NUL,Atlantico,10.6966,-74.8741,2535517
17005,COL,NUL,Bolivar,8.6704,-74.03,2070110
17006,COL,NUL,Boyaca,5.4545,-73.362,1217376
17007,COL,NUL,Caldas,5.2983,-75.2479,998255
17008,COL,NUL,Capital District,4.711,-74.0721,7412566
17009,COL,NUL,Caqueta,0.8699,-73.8419,401489
17010,COL,NUL,Casanare,5.7589,-71.5724,420504
17011,COL,NUL,Cauca,2.705,-76.826,1464488
17012,COL,NUL,Cesar,9.3373,-73.6536,1200574
17013,COL,NUL,Choco,5.2528,-76.826,534826
17014,COL,NUL,Cordoba,8.0493,-75.574,1784783
17015,COL,NUL,Cundinamarca,5.026,-74.03,2919060
17016,COL,NUL,Guainia,2.5854,-68.5247,48114
17017,COL,NUL,Guaviare,1.0654,-73.2603,82767
17018,COL,NUL,Huila,2.5359,-75.5277,1100386
17019,COL,NUL,La Guajira,11.3548,-72.5205,880560
17020,COL,NUL,Magdalena,10.4113,-74.4057,1341746
17021,COL,NUL,Meta,3.272,-73.0877,1039722
17022,COL,NUL,Narino,1.2892,-77.3579,1630592
17023,COL,NUL,Norte de Santander,7.9463,-72.8988,1491689
17024,COL,NUL,Putumayo,0.436,-75.5277,348182
17025,COL,NUL,Quindio,4.461,-75.6674,539904
17026,COL,NUL,Risaralda,5.3158,-75.9928,943401
17027,COL,NUL,San Andres y Providencia,12.5567,-81.7185,61280
17028,COL,NUL,Santander,6.6437,-73.6536,2184837
17029,COL,NUL,Sucre,8.814,-74.7233,904863
17030,COL,NUL,Tolima,4.0925,-75.1545,1330187
17031,COL,NUL,Valle del Cauca,3.8009,-76.6413,4475886
17032,COL,NUL,Vaupes,0.8554,-70.812,40797
17033,COL,NUL,Vichada,4.4234,-69.2878,107808
17034,COL,NUL,Unknown,,,0
178,COG,NUL,,-0.228,15.8277,5518092
180,COD,NUL,,-4.0383,21.7587,89561404
174,COM,NUL,,-11.6455,43.3333,869595
188,CRI,NUL,,9.7489,-83.7534,5094114
384,CIV,NUL,,7.54,-5.5471,26378275
191,HRV,NUL,,45.1,15.2,4105268
192,CUB,NUL,,21.521757,-77.781167,11326616
196,CYP,NUL,,35.1264,33.4299,1207361
203,CZE,NUL,,49.8175,15.473,10708982
208,DNK,NUL,,56.2639,9.5018,5837213
234,FRO,NUL,Faroe Islands,61.8926,-6.9118,48865
304,GRL,NUL,Greenland,71.7069,-42.6043,56772
9999,NUL,NUL,,,,0
262,DJI,NUL,,11.8251,42.5903,988002
212,DMA,NUL,,15.415,-61.371,71991
214,DOM,NUL,,18.7357,-70.1627,10847904
218,ECU,NUL,,-1.8312,-78.1834,17643060
818,EGY,NUL,,26.820553,30.802498,102334403
222,SLV,NUL,,13.7942,-88.8965,6486201
226,GNQ,NUL,,1.6508,10.2679,1402985
232,ERI,NUL,,15.1794,39.7823,3546427
233,EST,NUL,,58.5953,25.0136,1326539
748,SWZ,NUL,,-26.5225,31.4659,1160164
231,ETH,NUL,,9.145,40.4897,114963583
242,FJI,NUL,,-17.7134,178.065,896444
246,FIN,NUL,,61.92411,25.748151,5540718
250,FRA,NUL,,46.2276,2.2137,65249843
254,GUF,NUL,French Guiana,4,-53,298682
258,PYF,NUL,French Polynesia,-17.6797,-149.4068,280904
312,GLP,NUL,Guadeloupe,16.265,-61.551,400127
474,MTQ,NUL,Martinique,14.6415,-61.0242,375265
175,MYT,NUL,Mayotte,-12.8275,45.166244,272813
540,NCL,NUL,New Caledonia,-20.904305,165.618042,285491
638,REU,NUL,Reunion,-21.1151,55.5364,895308
652,BLM,NUL,Saint Barthelemy,17.9,-62.8333,9885
666,SPM,NUL,Saint Pierre and Miquelon,46.8852,-56.3159,5795
663,MAF,NUL,St Martin,18.0708,-63.0501,38659
876,WLF,NUL,Wallis and Futuna,-14.2938,-178.1165,15289
266,GAB,NUL,,-0.8037,11.6094,2225728
270,GMB,NUL,,13.4432,-15.3101,2416664
268,GEO,NUL,,42.3154,43.3569,3989175
276,DEU,NUL,,51.165691,10.451526,83155031
27601,DEU,NUL,Baden-Wurttemberg,48.6616,9.3501,11103043
27602,DEU,NUL,Bayern,48.7904,11.4979,13140183
27603,DEU,NUL,Berlin,52.52,13.405,3664088
27604,DEU,NUL,Brandenburg,52.4125,12.5316,2531071
27605,DEU,NUL,Bremen,53.0793,8.8017,680130
27606,DEU,NUL,Hamburg,53.5511,9.9937,1852478
27607,DEU,NUL,Hessen,50.6521,9.1624,6293154
27608,DEU,NUL,Mecklenburg-Vorpommern,53.6127,12.4296,1610774
27609,DEU,NUL,Niedersachsen,52.6367,9.8451,8003421
27610,DEU,NUL,Nordrhein-Westfalen,51.4332,7.6616,17925570
27611,DEU,NUL,Rheinland-Pfalz,50.1183,7.309,4098391
27612,DEU,NUL,Saarland,49.3964,7.023,983991
27613,DEU,NUL,Sachsen,51.1045,13.2017,4056941
27614,DEU,NUL,Sachsen-Anhalt,51.9503,11.6923,2180684
27615,DEU,NUL,Schleswig-Holstein,54.2194,9.6961,2910875
27616,DEU,NUL,Thuringen,51.011,10.8453,2120237
27617,DEU,NUL,Unknown,,,0
288,GHA,NUL,,7.9465,-1.0232,31072945
300,GRC,NUL,,39.0742,21.8243,10423056
308,GRD,NUL,,12.1165,-61.679,112519
320,GTM,NUL,,15.7835,-90.2308,17915567
324,GIN,NUL,,9.9456,-9.6966,13132792
624,GNB,NUL,,11.8037,-15.1804,1967998
328,GUY,NUL,,4.860416,-58.93018,786559
332,HTI,NUL,,18.9712,-72.2852,11402533
336,VAT,NUL,,41.9029,12.4534,809
340,HND,NUL,,15.2,-86.2419,9904608
348,HUN,NUL,,47.1625,19.5033,9660350
352,ISL,NUL,,64.9631,-19.0208,341250
356,IND,NUL,,20.593684,78.96288,1380004385
35601,IND,NUL,Andaman and Nicobar Islands,11.225999,92.968178,417036
35602,IND,NUL,Andhra Pradesh,15.9129,79.74,53903393
35603,IND,NUL,Arunachal Pradesh,27.768456,96.384277,1570458
35604,IND,NUL,Assam,26.357149,92.830441,35607039
35605,IND,NUL,Bihar,25.679658,85.60484,124799926
35606,IND,NUL,Chandigarh,30.733839,76.768278,1158473
35607,IND,NUL,Chhattisgarh,21.264705,82.035366,29436231
35608,IND,NUL,Dadra and Nagar Haveli and Daman and Diu,20.194742,73.080901,615724
35609,IND,NUL,Delhi,28.646519,77.10898,18710922
