timeid,Date,Confirmed,Recovered,Deaths,Increase rate
21f48000-3caa-11ea-b984-e433760b74c1,2020-01-22,557,30,17,
4c5e4000-3d73-11ea-b1cb-85ed6b146165,2020-01-23,657,32,18,17.953321364452425
76c80000-3e3c-11ea-b6be-6875b67b629d,2020-01-24,944,39,26,43.68340943683409
a131c000-3f05-11ea-88cb-df8be09e8e7a,2020-01-25,1437,42,42,52.22457627118644
cb9b8000-3fce-11ea-94c2-4a4cede606a3,2020-01-26,2120,56,56,47.529575504523315
f6054000-4097-11ea-bf1e-7b82cc0781ad,2020-01-27,2929,65,82,38.160377358490564
206f0000-4161-11ea-8813-12f7e3519ec1,2020-01-28,5580,108,131,90.5087060430181
4ad8c000-422a-11ea-b5b4-f2cd626bee0a,2020-01-29,6169,127,133,10.555555555555555
75428000-42f3-11ea-bc46-d0949a0462d4,2020-01-30,8237,145,171,33.52245096449992
9fac4000-43bc-11ea-83b4-b369b5dfebbc,2020-01-31,9927,225,213,20.51717858443608
ca160000-4485-11ea-b12b-c28592c407cb,2020-02-01,12038,287,259,21.2652362244384
f47fc000-454e-11ea-b3cc-b2f17f46acf2,2020-02-02,16787,476,362,39.45007476324971
1ee98000-4618-11ea-9e4e-ebd1f947a84d,2020-02-03,19887,627,426,18.466670637993683
49534000-46e1-11ea-adbb-07b5f1785483,2020-02-04,23899,857,492,20.173983003972445
73bd0000-47aa-11ea-9996-ccc9fb1971ae,2020-02-05,27644,1130,564,15.670111720155655
9e26c000-4873-11ea-91d4-562b52175115,2020-02-06,30806,1493,634,11.438286789176674
c8908000-493c-11ea-b16c-f9833bc8e492,2020-02-07,34400,2016,719,11.666558462637148
f2fa4000-4a05-11ea-976c-25219703c568,2020-02-08,37131,2617,806,7.938953488372093
1d640000-4acf-11ea-bbc7-b831efc330a3,2020-02-09,40162,3247,906,8.162990493118958
47cdc000-4b98-11ea-b986-1d4a75e66d22,2020-02-10,42771,3949,1013,6.496190428763509
72378000-4c61-11ea-8722-d60d47ce828d,2020-02-11,44814,4684,1113,4.77660096794557
9ca14000-4d2a-11ea-95de-2c91a85b6566,2020-02-12,45232,5151,1118,0.9327442317133039
c70b0000-4df3-11ea-9e19-60d3d9e6fd83,2020-02-13,60384,6294,1371,33.49840820657941
f174c000-4ebc-11ea-8b82-73b1da9da994,2020-02-14,66912,8061,1523,10.81081081081081
1bde8000-4f86-11ea-a36b-45bf459ccca8,2020-02-15,69055,9397,1666,3.202714012434242
46484000-504f-11ea-9523-1fd71180250f,2020-02-16,71238,10867,1770,3.1612482803562383
70b20000-5118-11ea-91d5-5e6809960c00,2020-02-17,73273,12587,1868,2.856621466071479
9b1bc000-51e1-11ea-8c11-b63c22ef7b29,2020-02-18,75155,14352,2008,2.568476792270004
c5858000-52aa-11ea-9098-1c739d706826,2020-02-19,75655,16123,2123,0.6652917304237909
efef4000-5373-11ea-8492-ab68bf3cd3ba,2020-02-20,76216,18181,2248,0.7415240235278567
1a590000-543d-11ea-a88e-85f01df195df,2020-02-21,76846,18894,2252,0.8265980896399705
44c2c000-5506-11ea-b212-62637a4161d5,2020-02-22,78608,22892,2459,2.292897483278245
6f2c8000-55cf-11ea-803f-6056a7ae3224,2020-02-23,78990,23397,2470,0.4859556279259108
99964000-5698-11ea-9a6f-79b5c3fdb0af,2020-02-24,79558,25229,2630,0.7190783643499177
c4000000-5761-11ea-ab3a-54f056770c7e,2020-02-25,80412,27907,2710,1.0734307046431535
ee69c000-582a-11ea-a408-38f47a65076d,2020-02-26,81385,30388,2771,1.2100184052131524
18d38000-58f4-11ea-87e7-7585651d4741,2020-02-27,82730,33282,2814,1.6526386926337777
433d4000-59bd-11ea-bdff-d6f83ee19398,2020-02-28,84154,36714,2873,1.7212619364196786
6da70000-5a86-11ea-a3dd-38d53b10c5cd,2020-02-29,86030,39785,2943,2.2292463816336716
9810c000-5b4f-11ea-b27d-2a29d2628ca8,2020-03-01,88410,42721,2997,2.7664768104149715
c27a8000-5c18-11ea-8dd0-6841f0291968,2020-03-02,90393,45605,3086,2.2429589412962336
ece44000-5ce1-11ea-9e80-8788617fd06d,2020-03-03,93004,48227,3160,2.8884980031639618
174e0000-5dab-11ea-89cc-800876e43a46,2020-03-04,95329,51170,3255,2.499892477742893
41b7c000-5e74-11ea-b1f8-09f79cbfd5c4,2020-03-05,98046,53796,3348,2.850129551343243
6c218000-5f3d-11ea-989c-c354fa6a5305,2020-03-06,101976,55864,3461,4.008322624074414
968b4000-6006-11ea-b7a1-31438d53b6e3,2020-03-07,106122,58358,3566,4.065662508825605
c0f50000-60cf-11ea-8715-cea131733580,2020-03-08,109972,60695,3807,3.6278999641921565
eb5ec000-6198-11ea-a58f-8b6df37b7313,2020-03-09,114299,62495,3997,3.9346379078310845
15c88000-6262-11ea-881b-0a79fdc2ac75,2020-03-10,119108,64402,4273,4.207385891390126
40324000-632b-11ea-a5fc-d6c2916e219c,2020-03-11,126628,66999,4618,6.313597743224636
6a9c0000-63f4-11ea-a730-3ae0d9519fe3,2020-03-12,133383,68328,4930,5.334523170230913
9505c000-64bd-11ea-b37a-7facb2ce34b5,2020-03-13,146673,70255,5420,9.963788488787927
bf6f8000-6586-11ea-a1dd-b114bd3c3a77,2020-03-14,157617,72622,5843,7.461495980855372
e9d94000-664f-11ea-ad53-33150c702b97,2020-03-15,168876,76031,6496,7.143265003140524
14430000-6719-11ea-80b4-d62f0975138b,2020-03-16,183394,78086,7178,8.59684028517966
3eacc000-67e2-11ea-aca5-ad026f6e7655,2020-03-17,198691,80830,7989,8.341058049881674
69168000-68ab-11ea-a630-b36cd37f5862,2020-03-18,216348,83317,8907,8.886663210714124
93804000-6974-11ea-92ad-81521b6c25ae,2020-03-19,243464,84958,10017,12.533510825152069
bdea0000-6a3d-11ea-a6e1-f9383ab07e03,2020-03-20,273008,87403,11504,12.134853612854467
e853c000-6b06-11ea-bde7-5d71a80c9267,2020-03-21,305423,91650,13233,11.873278438727072
12bd8000-6bd0-11ea-b8ed-2d34d2def4f8,2020-03-22,339895,97867,14919,11.28664180497212
3d274000-6c99-11ea-9668-2be3e34769da,2020-03-23,382799,98355,16886,12.622721722885007
67910000-6d62-11ea-81ef-ce7fa6dcdde3,2020-03-24,424883,107974,19201,10.993759126852472
91fac000-6e2b-11ea-aa4c-1496d68951f9,2020-03-25,475998,113753,22022,12.03037071382004
bc648000-6ef4-11ea-a3a2-b467a0c3b55a,2020-03-26,537412,122125,25058,12.902155051071643
